epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.93934,1.80457,3.38259,1.79558,0.00179,1,0.12429,0.04239,1.81898,4.30032,1.9452,6e-05,6e-05,6e-05
2,2.35328,1.63934,3.30039,1.73401,0.00179,1,0.22314,0.07556,1.8344,4.27547,2.00487,0.000137228,0.000137228,0.000137228
3,2.77797,1.45989,3.03572,1.54349,0.00179,1,0.57334,0.23131,1.61176,3.94836,1.69359,0.000211288,0.000211288,0.000211288
4,3.19874,1.09325,4.68629,1.07777,0.00179,1,0.82067,0.36656,1.42175,3.71186,1.52842,0.00028218,0.00028218,0.00028218
5,3.61564,1.68145,2.27904,1.60627,0.00179,1,0.94409,0.43407,1.33505,3.68927,1.40184,0.000349904,0.000349904,0.000349904
6,4.03244,1.11721,2.05685,1.28317,0.00179,1,0.9775,0.41171,1.52333,3.80365,1.56516,0.00041446,0.00041446,0.00041446
7,4.43391,1.2382,1.67953,1.29225,0.00179,1,0.80428,0.31679,1.88056,3.715,2.0582,0.000475848,0.000475848,0.000475848
8,4.85671,1.15646,1.56094,1.27201,1,0.56605,0.76686,0.338,1.85931,3.55473,2.10059,0.000534068,0.000534068,0.000534068
9,5.29757,1.29693,1.68506,1.32448,0.67122,0.71429,0.76225,0.28459,1.63111,3.91073,1.54888,0.00058912,0.00058912,0.00058912
10,5.75602,1.41839,1.73481,1.37179,0.59543,0.71429,0.70604,0.30383,1.56047,3.62364,1.55488,0.000641004,0.000641004,0.000641004
11,6.18697,1.21577,1.85679,1.35837,0.26162,0.85714,0.69222,0.29098,1.84876,3.72849,1.69632,0.00068972,0.00068972,0.00068972
12,6.62087,1.58572,1.93046,1.55506,0.617,0.42857,0.51265,0.20863,2.01474,3.77972,1.95059,0.000735268,0.000735268,0.000735268
13,7.06079,1.24325,1.84101,1.40548,0.65439,0.57143,0.64233,0.16879,2.17931,4.21269,2.05214,0.000777648,0.000777648,0.000777648
14,7.48326,1.08838,1.65088,1.29075,0.42548,0.42857,0.29035,0.08599,2.18292,4.54504,2.07757,0.00081686,0.00081686,0.00081686
15,7.9051,1.19535,1.76962,1.23306,0.53824,0.57143,0.57203,0.19863,1.88633,3.87356,1.93767,0.000852904,0.000852904,0.000852904
16,8.32752,1.2309,1.4154,1.24741,0.37219,0.71429,0.42877,0.15265,1.8121,3.51176,1.8229,0.00088578,0.00088578,0.00088578
17,8.76343,1.24374,1.65821,1.40792,0.41959,0.71429,0.60409,0.22911,1.62535,3.45881,1.66829,0.000915488,0.000915488,0.000915488
18,9.19478,1.21695,1.42034,1.18281,0.90408,0.14286,0.2731,0.14985,1.48625,4.18783,1.65733,0.000942028,0.000942028,0.000942028
